Sentence,GroundTruth,Prediction
فين غاديين اليوم العشية؟ الجو زوين برا وممكن نمشيو للبحر ولا نتمشاو شوية.,,UNK
يا جماعة، منو يعرف إيمتى راح يخلص هذا المشروع؟ تأخر هواي وبدينا نقلق.,IRAQ,UNK
يا ولد، ليش ما رديت على اتصالاتي؟ كنت با أحاول أتصل بك من الصبح.,YEM,UNK
 أنا شفت الفيلم اللي نزل الأسبوع اللي فات، جان كلش حلو وبي ضحك بنفس الوقت.,IRAQ,UNK
شكو ماكو.,IRAQ,UNK
بغيتي تبدل هاد العدسات بشي وحدين قصاح؟,,UNK
ما يصير الواحد ينسى أهله وأصحابه، لازم نتواصل وياهم دايماً ونزورهم,GULF,UNK
هل يمكنني أن أكل كل حبة الفاكهة هذه ؟,MSA,UNK
أنا تعبان شوية اليوم، ما نمت زين البارحة، يمكن أريد أرتاح شوية.,IRAQ,UNK
يصير ادفع بجيكات سياحية؟,GULF,UNK
عليك أن تحجز مقدما .,MSA,UNK
اشعر بالتعب الشديد . من فضلك استدع طبيباً .,MSA,UNK
يا شباب، اكو مكان يبيع أثاث مستعمل نظيف؟,IRAQ,UNK
الحساب من فضلك .,MSA,UNK
أنا تعبان شوي اليوم، ما نمت منيح الليلة الماضية، يمكن بدي أرتاح شوي.,LEV,UNK
أبا عطرلو ما عليك أمر.,GULF,UNK
 يا ناس، حدا بيعرف إيمتى بتخلص الامتحانات؟ خلص زهقنا من الدراسة.,LEV,UNK
واش هاد القطار كايتوقف فبالتيمور؟,,UNK
رجاءا اكتب عنوانك هوني.,IRAQ,UNK
يبن عمي، اسمعني دقيقه! ,YEM,UNK
شا اتصل ب واحد.,YEM,UNK
على طول لو سمحت .,NILE,UNK
دير بالك، السقف قصير.,LEV,UNK
إزيكوا يا جماعة؟,NILE,UNK
وأنا جالس أنقز هنا أستنى,YEM,UNK
حدا بيعرف إيمتى بتخلص الامتحانات؟ ,LEV,UNK
لا أريد شيئاً آخر ، من فضلك .,MSA,UNK
تركت شنطتي بشي مطرح.,LEV,UNK
"لكن التكلفة تزداد , أليس كذلك ؟",MSA,UNK
 ما شاء الله، الدار الجديدة كبيرة بزاف وواسعة، الله يبارك ليكم فيها.,,UNK
مشكور ما قصرت. انا وسيد عبد الله مستانسين ان جينا لندن عشان نجتمع معاك وانت واحد من أهم شركائنا.,GULF,UNK
هل يمكنك أن تقوم بضبطها الآن ؟,MSA,UNK
اي، بعض الغرف تطل على الحديقة، بس وايد غالية.,GULF,UNK
هاي الغرفة كولش صغيره.,IRAQ,UNK
 جنت أحاول أتصل بيك من الصبح.,IRAQ,UNK
بطني واجعاني شديد,NILE,UNK
الجو زوين برا,,UNK
شو عم تعمل؟,LEV,UNK
اشتي العب تنس.,YEM,UNK
بسرعة قبل ما السوق يسدّ.,YEM,UNK
في واحد خبط فيا. وبعديها ملقتش محفظتي.,NILE,UNK
عاوز أعمل لي تأمين.,NILE,UNK
اكو اي ليموزين؟,IRAQ,UNK
ما يمكنش الواحد ينسى عائلتو و صحابو، خاصنا نتواصلو معاهم ديما ونزوروهم,,UNK
البرفان دة بكام؟,NILE,UNK
تعال نشرب لنا كاسة شاهي بالحليب ونسمر شوية,YEM,UNK
بأثر شي اذا دقيتلك بعدين؟,LEV,UNK
على الساحل الشرقي، حتلاقي كمان أماكن مشهورة، زي نيويورك، وواشنطن دي سي وبوسطن.,NILE,UNK
ازاي أرجع؟,NILE,UNK
كم من الوقت يبغاله من هنا إلى سيتي مول ؟,GULF,UNK
أيمكنني أن أبقى ثلاث ليالٍ ؟,MSA,UNK
بينتسائل أيش أشل منه؟,YEM,UNK
وين رايحين اليوم ؟,GULF,UNK
حابب أعمل إتصال لبرات البلد عاليابان.,LEV,UNK
 أنا سمعت باللي المطعم الجديد اللي تحل قريب الماكلة ديالو زوينة بزاف، بغينا نجربوه.,,UNK
 سيارتكم اليديدة شكلها وايد حلو.,GULF,UNK
تعرف كيف الناس يجوا مثل الجراد وما يخلو شي وراهم,YEM,UNK
عايز الهدوم دى تتكوى.,NILE,UNK
دخيلك في عندك اكبر؟,LEV,UNK
علاش غالي برشة البوكسار هذا؟,,UNK
باش نسافر من اما مطار؟,,UNK
ازيك عامل إيه؟,NILE,UNK
 أنا عندي موعد مع الطبيب اليوم، خاصني نمشي قبل الموعد بشوية.,,UNK
هل يمكن أن أترك هذه العربة خارج الردهة ؟,MSA,UNK
ممكن تحولي اياهم لدولارات، لو سمحت؟,LEV,UNK
يا صاحبي، متى با ترد الفلوس؟ ولا تشتيني أنسى الموضوع,YEM,UNK
أقول لا تسولف بس.,GULF,UNK
أبا مجبوس دياي؟,GULF,UNK
اكو مطعم قريب هوني؟,IRAQ,UNK
نعم إنها جميلة بالفعل.,MSA,UNK
