Sentence,GroundTruth,Prediction
البرفان دة بكام؟,NILE,NA
الملابس الطويلة هي الموضة الآن .,MSA,MSA
وين الأصانصير؟,LEV,LEV
اكو حد اسكتلندي ؟,IRAQ,MSA
أشتي شاي عدني.,YEM,NA
دخيلك في عندك اكبر؟,LEV,LEV
باش نسافر من اما مطار؟,NOR-AFR,GULF
عاوز لي لابتوب جديد .,NILE,MSA
وين رايح هلأ؟,LEV,LEV
شكو ماكو؟,IRAQ,NA
نحبك بزاف.,NOR-AFR,MSA
لا توسوس، الأمور طيبة، لا تجلس تفكر كثير.,YEM,MSA
بدي تطولي كمام جاكيت الرياضة هاد.,LEV,NA
لك شو عم تعمل ؟,LEV,LEV
كنت ماشي و لقيتك في الشارع مع ناسك.,NILE,NA
هل اكو اي جوله صباحيي؟,IRAQ,GULF
أني أريد أروح للسوك اليوم حتى أشتري بعض الأغراض للبيت.,IRAQ,MSA
يبن عمي، ليش تأخرت؟ قدنا واقف هنا ساعة كأني حارس بوابة.,YEM,LEV
هل لك أن تزكري لي مطعما جيدا ؟,MSA,MSA
بسرعة قبل ما السوق يسدّ.,YEM,MSA
تعال نشرب لنا كاسة شاهي بالحليب ونسمر شوية.,YEM,MSA
 يا ولد ليش لهسة ما خلصت واجباتك؟,IRAQ,IRAQ
وين بقدر ألائي محل ساعات؟,LEV,LEV
حي الله عينك، والله ما قصرت.,GULF,MSA
غادي ناخد الرحلة طناش لطوكيو.,NOR-AFR,NA
أنا كنت كانفكر نمشي لشي رحلة قصيرة نهاية السيمانة الجاية.,NOR-AFR,MSA
عندك بطاريات للكاميرا دي؟,NILE,LEV
بمجرد النظر إليها تبدو وكأنك قد التقطت بعض العدوى منها .,MSA,MSA
ما كان يجب أن يكون كثيراً هكذا .,MSA,MSA
لذلك ارغب في استبدالها ؟,MSA,MSA
أجري يا زول .,NILE,MSA
لو سمحت، احكيلي عن شوية شوارع كويسة للتسوق.,LEV,MSA
أنا با أريد أخلص الشغل بسرعة.,YEM,IRAQ
شفت الفيلم اللي نزل السيمانة اللي فاتت؟ ,NOR-AFR,NILE
مالك في إيه يا عم ؟,NILE,LEV
على الساحل الشرقي، حتلاقي كمان أماكن مشهورة، زي نيويورك، وواشنطن دي سي وبوسطن.,NILE,MSA
أمشي جيب حاجات من الدكان عليك الله.,NILE,NILE
ممكن احصل مخابرة تكعدني بالخمسة ونص باجر الصبح؟,IRAQ,NILE
 فين بغينا نمشيو نتعشاو الليلة؟,NOR-AFR,NA
 أنا باغي نجرب مطعم جديد سمعت عليه هضرة زوينة في الأيام اللي فاتت.,NOR-AFR,MSA
روحي دغري و بروم عالشمال هونيك.,LEV,LEV
ممكن تساعديني في ترتيب الأغراض في الدولاب؟ أنا ما عندي وقت اليوم وبا أريد أخلص الشغل بسرعة.,YEM,LEV
راني حاب حقيبة ماكياج.,NOR-AFR,NA
القات اليوم حلو، تعال نتمضغ.,NOR-AFR,EGYPT
تروم تساعدني؟,GULF,LEV
ما عندي وقت والله السموحة.,GULF,LEV
عاوز قهوة يسطا؟,NILE,GULF
هل يمكن أن أترك هذه العربة خارج الردهة ؟,MSA,MSA
لقد كانت المزارات في اليونان تاريخية .,MSA,MSA
بعد إزنك، من وين بروحو عأكاساكا؟,LEV,LEV
اكو مطعم  قريب يبيع دولمة؟,IRAQ,NA
بس كنت ابغي أأكد ان رئيس مجلس الإدارة لشركتكم بيحضر الاجتماع بكرة.,GULF,MSA
أنا با أريد نجرب مطعم جديد سمعت عنه.,YEM,NA
 البيت اللي اشتريناه جديد وحلو كلش وواسع، بيه حديقة جبيرة نكدر نقعد بيها ونستمتع بالجو الحلو بالمساء.,IRAQ,NA
كيف بدك البيض؟,LEV,LEV
 الجو اليوم جميل جداً وما يحتاج الواحد يلبس ملابس ثقيلة، الواحد يقدر يتمشى في الكورنيش ويستمتع بالهواء النظيف.,YEM,NA
إنت المفروض تجيب كل الحاجات من السوبر ماركت. لو ماقدرتش، متقلقش. أنا هاروح الصيدلية بكرة.,NILE,MSA
هل يمكنك أن تقوم بضبطها الآن ؟,MSA,MSA
أشتي كبسة باللحم، إذا ممكن,YEM,NA
انت عارف، ماعندناش النوع ده من التاكسيات في اليابان .,NILE,MSA
بطني واجعاني شديد.,NILE,MSA
اطيق احجز اجر-سيارة هوني؟,IRAQ,IRAQ
شنو نوع الجوتي مالك؟,GULF,NA
الجو بره حلو هواي اليوم.,IRAQ,NILE
ارحب يبو مسعد؟,GULF,MSA
"وين يا رجال , وش صار عليك؟",GULF,LEV
باخي والله وجع شديد,NILE,MSA
ازاي أرجع؟,NILE,MSA
غدا غنمشيو للبحر نتفسخو و نتبسطو,NOR-AFR,NA
ما اقدر اشوف الشاشة من هني. أروم اغير مقعدي ؟,GULF,MSA
"أنا تعبان شوية, با أرتاح في البيت.",YEM,LEV
صاحبي مريض برشا. تنجم تكلم طبيب، يعيشك؟,NOR-AFR,IRAQ
بدي شوية مقانق، عمول معروف .,LEV,NA
لك حل عني يا زلمة,LEV,MSA
أبا عطر لو ما عليك أمر.,GULF,IRAQ
رح أوصل حوالي الساعة تسعة المسا.,LEV,EGYPT
واش هاد القطار كايتوقف فبالتيمور؟,NOR-AFR,LEV
اشتي شاي عدني.,YEM,NA
عايزه لي شبشب كويس و كعب عالي عليك الله.,NILE,LEV
يا حبيبي دزها بس.,GULF,LEV
اصعد السلم ثم اتجه يميناً . إنه على يسارك .,MSA,MSA
فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .,MSA,MSA
مستحيل الكلام ده يا فندم .,NILE,MSA
ماذا عن القمة ؟ هل انقص بعضاً من القمة ؟,MSA,MSA
فين مفتاح الطوموبيل؟,NOR-AFR,NA
تؤبرني,LEV,NILE
"أنا أحب أطبخ, إيش تبغى أطبخ لك اليوم؟",YEM,MSA
أنا با أريد أسافر في الصيف.,YEM,MSA
شي بيبسي زيرو؟ مسوي دايت أنا,GULF,NILE
اليوم كان يوم طويل، ولكن الحمد لله خلصت كل الأعمال.,YEM,NILE
لو سمحت ألغي رقم البطاقه حقي.,YEM,MSA
اشتي قهوة.,YEM,LEV
أنا ما عنديش فلوس بزاف دابا.,NOR-AFR,NILE
هل اكو مطعم قريب هوني؟,IRAQ,LEV
لهيجا البيت كبير كتير. ,LEV,NILE
وش تبي مني ؟,GULF,LEV
هسه شنو تريد تاكل على الغده؟,IRAQ,NILE
خلينا نمشيو نزورو عائلتي اليوم العشية.,NOR-AFR,EGYPT
عادي تطرشلي الصورة بعدين؟,GULF,LEV
ما عندي فلوس هواي هسه.,IRAQ,NILE
ممكن تحولي اياهم لدولارات، لو سمحت؟,LEV,MSA
علاش أنت زعفان اليوم؟,NOR-AFR,LEV
اشنو الاختلاف بين هذولي الفنادق؟,IRAQ,NA
الشي الجنت ادور عليه.,IRAQ,MSA
ما بيصير تحكي هالحكي قدام الناس.,LEV,MSA
يصير ادفع بجيكات سياحية؟,GULF,GULF
اي، بعض الغرف تطل على الحديقة، بس وايد غالية.,GULF,GULF
اريد كتاب تلوين.,IRAQ,MSA
"ما يمكنش تهضر بهاد الطريقة مع الناس, خاصك تحترمهم.",NOR-AFR,MSA
با أريد شاهي كرك من دبي.,YEM,GULF
مشكور ما قصرت. انا وسيد كوقوري مستانسين ان جينا لندن عشان نجتمع معاك وانت واحد من أهم شركائنا.,GULF,MSA
ايوه، كل اللي انت محتاجله شامبو و سيشوار .,NILE,LEV
عليك أن تحجز مقدما .,MSA,MSA
أنا مرضان.بدي أرتاح.,LEV,NILE
ماعنديش موعد، بلحاق الحالة مستعجلة.,NOR-AFR,NILE
اكيد، اخذ وقتج.,IRAQ,LEV
مسامحة بس في غلط في الفاتورة.,GULF,NA
السوق اليوم زحمة، لازم ندحس عشان ندخل.,YEM,NA
ناس قليلين اللي هايكونوا في الجولة الاختياري.,NILE,NA
اكدر احصلها مشروحة اكثر بالتفاصيل؟,IRAQ,MSA
كلموه بركي يقتنع.,LEV,MSA
كيف نستخدم هذا ؟,MSA,LEV
لك شو مهضوم انته,LEV,LEV
حط الشاي هانا، جنب القات.,YEM,EGYPT
أبا ألعب بادل.,GULF,LEV
اكدر اكل وجبتي بعدين؟ احس نفسي متخربط هسه.,IRAQ,LEV
عادي أدقع كاش ولا عايز ببطاقة؟,NILE,EGYPT
أيمكنني أن أبقى ثلاث ليالٍ ؟,MSA,LEV
نعم ، بإمكانك . هون عليك .,MSA,LEV
بتقدر تبدل كرسيك معي، لو سمحت؟,LEV,LEV
عاوزين أوضة على البحر يسطا.,NILE,MSA
هاي الغرفة كولش صغيره.,IRAQ,NA
هاد الكتاب مفيد بزاف.,NOR-AFR,MSA
هل يمكنني أن أكل كل حبة الفاكهة هذه ؟,MSA,MSA
مافشي أغراض  في البيت. لازم نسير اليمعية.,GULF,LEV
أتوبيس؟ أفتكر أنت تقصد ليموزين يوصلك الفندق. أنت رايح أنهى فندق؟,NILE,LEV
يا شيخ لا تسولف بالله.,GULF,MSA
أبا مجبوس دياي اليوم.,GULF,MSA
اكو جمعية قريبة؟,IRAQ,LEV
لا تطلع فيا هيك!,LEV,LEV
ما عندي مصاري.,LEV,MSA
اليهال منتظرينك برع.,GULF,NA
لا تقول هالكلام جدامي.,GULF,MSA
كلا . إني ياباني .,MSA,YEM
ما أشرب قهوة أني يا الغالي.,IRAQ,IRAQ
هل هذا هو كل شيء متضمن في الفاتورة ؟,MSA,MSA
تركت شنطتي بشي مطرح.,LEV,NA
طوالي عليك الله.,NILE,MSA
اشتي العب تنس.,YEM,NA
زين. هسه حجزك تاكد.,IRAQ,GULF
في واحد خبط فيا. وبعديها ملقتش محفظتي.,NILE,NILE
بغيت شاهي مع ليمون، لو سمحت.,GULF,LEV
من فضلك غادر الفندق قبل التاسعة .,MSA,MSA
عمبتسأل  شو هيدا الي على فاتورتي .,LEV,NILE
 لازم نوفر باستهلاك الكهرباء والماي حتى نحافظ على البيئة ونكون مسؤولين تجاه الأجيال الجاية.,IRAQ,MSA
ضيعت باسبوري، نحب واحد جديد.,NOR-AFR,NILE
اشعر بالتعب الشديد . من فضلك استدع طبيباً .,MSA,NILE
نعم، سيد تانكا. اكو رسالتين الك.,IRAQ,LEV
بأثر شي اذا دقيتلك بعدين؟,LEV,MSA
ممكن ترسل تاكسي للمدخل الرئيسي حق ويستمينستر مول؟,YEM,LEV
شكرا يبن عمي عل الخدمة.,YEM,MSA
عمر هاد الورقة عافاك. فين خاصنا نديوه منين نردوه؟,NOR-AFR,NA
مو معئول لهلأ طلبي ما وصل .,LEV,MSA
عايز الهدوم دي تتكوى.,NILE,LEV
اليوم عندنا تخزينة قوية مع الشباب.,YEM,NILE
كم من الوقت يبغاله من هنا إلى سيتي هول؟,GULF,GULF
ما شعورك ؟ لقد صنعت في سويسرا وهي موضة هنا .,MSA,MSA
يا رجال، شمسك حاميا؟,YEM,LEV
عندج بيزات؟,GULF,MSA
السيارة دقمت الجدار.,YEM,MSA
تروم تصلحه؟,GULF,MSA
أه، أنا عاوز أشوف المعالم السياحية للمدينة.,NILE,MSA
ده غالي شديد ياخ.,NILE,LEV
اكو اي ليموزين؟,IRAQ,NA
ابغى قهوة لو سمحت.,GULF,MSA
 إنها كذلك بالفعل.,MSA,MSA
انت جعان يصحبي؟,NILE,LEV
لا أريد شيئاً آخر .,MSA,MSA
أنا متأسف أما لوتيل معبي.,NOR-AFR,NA
"من زمان عنك, وين جنت؟",IRAQ,LEV
إتجه إلى الامام,MSA,MSA
ما يمكنش تقول هاد الهضرة قدام الناس.,NOR-AFR,MSA
علي أن أقول وداعاً .,MSA,MSA
أنا كنت كانفكر نمشي نلعب كورة.,NOR-AFR,MSA
دير بالك، السقف قصير.,LEV,LEV
موتري تعطل، تعال خده لو ما عليك امر.,GULF,GULF
علاش غالي برشة البوكسار هذا؟,NOR-AFR,YEM
لنذهب مرة أخرى .,MSA,MSA
أبا كوفي طال عمرك .,GULF,IRAQ
داير امشي الدكان.,NILE,LEV
هرب بسرعة لما شاف الحنشان.,YEM,MSA
جا عبالي شيش برك.,LEV,LEV
انا مستني حضرتك من ساعات في المكتب.,NILE,MSA
برشا تعبان اليوم.,NOR-AFR,NILE
"لكن التكلفة تزداد , أليس كذلك ؟",MSA,MSA
حالة الجو متقلبة . من فضلكم اربطوا أحزمة مقاعدكم .,MSA,MSA
مخيرا. الله يحفداك.,NOR-AFR,MSA
دخل معهم بالعقل، مش بالصميل.,YEM,NA
هل يمكن أن تعطيني الشوكة من فضلك .,MSA,MSA
ما هو الأفضل ؟,MSA,MSA
عقّ علينا يا رجال، تأخرنا.,YEM,MSA
هذا الولد طاهش، ما يسمع كلام أحد.,YEM,MSA
اني حتي مشي ما امشي,IRAQ,NILE
داير أرسله بالبريد البري.,NILE,MSA
رجاءا اكتب عنوانك هوني.,IRAQ,NA
علاش ما ساليتيش واجباتك المدرسية لحد الآن؟,NOR-AFR,NILE
اصك تساليهم قبل ما نخرجوا باش ما تعطلش على اللعب مع صحابك.,NOR-AFR,NILE
رجاءا ارسلي شخص للاعلى علمود جنطيي ساعه ستي ونص.,IRAQ,NILE
الواحد يقدر يتمشى في الكورنيش ويستمتع بالهوا النقي.,NOR-AFR,MSA
هالإيام عم ينتشر كتير حالات رشح.,LEV,NILE
