Sentence,GroundTruth,Prediction
البرفان دة بكام؟,NILE,UNK
الملابس الطويلة هي الموضة الآن .,MSA,UNK
وين الأصانصير؟,LEV,UNK
اكو حد اسكتلندي ؟,IRAQ,UNK
أشتي شاي عدني.,YEM,UNK
دخيلك في عندك اكبر؟,LEV,UNK
باش نسافر من اما مطار؟,NOR-AFR,UNK
عاوز لي لابتوب جديد .,NILE,UNK
وين رايح هلأ؟,LEV,UNK
شكو ماكو؟,IRAQ,UNK
نحبك بزاف.,NOR-AFR,UNK
لا توسوس، الأمور طيبة، لا تجلس تفكر كثير.,YEM,UNK
بدي تطولي كمام جاكيت الرياضة هاد.,LEV,UNK
لك شو عم تعمل ؟,LEV,UNK
كنت ماشي و لقيتك في الشارع مع ناسك.,NILE,UNK
هل اكو اي جوله صباحيي؟,IRAQ,UNK
أني أريد أروح للسوك اليوم حتى أشتري بعض الأغراض للبيت.,IRAQ,UNK
يبن عمي، ليش تأخرت؟ قدنا واقف هنا ساعة كأني حارس بوابة.,YEM,UNK
هل لك أن تزكري لي مطعما جيدا ؟,MSA,UNK
بسرعة قبل ما السوق يسدّ.,YEM,UNK
تعال نشرب لنا كاسة شاهي بالحليب ونسمر شوية.,YEM,UNK
 يا ولد ليش لهسة ما خلصت واجباتك؟,IRAQ,UNK
وين بقدر ألائي محل ساعات؟,LEV,UNK
حي الله عينك، والله ما قصرت.,GULF,UNK
غادي ناخد الرحلة طناش لطوكيو.,NOR-AFR,UNK
أنا كنت كانفكر نمشي لشي رحلة قصيرة نهاية السيمانة الجاية.,NOR-AFR,UNK
عندك بطاريات للكاميرا دي؟,NILE,UNK
بمجرد النظر إليها تبدو وكأنك قد التقطت بعض العدوى منها .,MSA,UNK
ما كان يجب أن يكون كثيراً هكذا .,MSA,UNK
لذلك ارغب في استبدالها ؟,MSA,UNK
أجري يا زول .,NILE,UNK
لو سمحت، احكيلي عن شوية شوارع كويسة للتسوق.,LEV,UNK
أنا با أريد أخلص الشغل بسرعة.,YEM,UNK
شفت الفيلم اللي نزل السيمانة اللي فاتت؟ ,NOR-AFR,UNK
مالك في إيه يا عم ؟,NILE,UNK
على الساحل الشرقي، حتلاقي كمان أماكن مشهورة، زي نيويورك، وواشنطن دي سي وبوسطن.,NILE,UNK
أمشي جيب حاجات من الدكان عليك الله.,NILE,UNK
ممكن احصل مخابرة تكعدني بالخمسة ونص باجر الصبح؟,IRAQ,UNK
 فين بغينا نمشيو نتعشاو الليلة؟,NOR-AFR,UNK
 أنا باغي نجرب مطعم جديد سمعت عليه هضرة زوينة في الأيام اللي فاتت.,NOR-AFR,UNK
روحي دغري و بروم عالشمال هونيك.,LEV,UNK
